seed,method,rho
0,batch_ds,1.000000
0,majority,0.666886
0,online_em_dedup,1.000000
0,online_em_nodedup,1.000000
0,weighted_majority,1.000000
1,batch_ds,1.000000
1,majority,0.500000
1,online_em_dedup,0.700000
1,online_em_nodedup,0.700000
1,weighted_majority,0.700000
2,batch_ds,0.900000
2,majority,0.948683
2,online_em_dedup,1.000000
2,online_em_nodedup,1.000000
2,weighted_majority,0.700000
3,batch_ds,0.900000
3,majority,0.900000
3,online_em_dedup,1.000000
3,online_em_nodedup,1.000000
3,weighted_majority,0.900000
4,batch_ds,0.400000
4,majority,0.100000
4,online_em_dedup,0.300000
4,online_em_nodedup,0.300000
4,weighted_majority,0.400000
5,batch_ds,0.800000
5,majority,0.527046
5,online_em_dedup,1.000000
5,online_em_nodedup,1.000000
5,weighted_majority,1.000000
6,batch_ds,0.900000
6,majority,0.400000
6,online_em_dedup,0.900000
6,online_em_nodedup,0.900000
6,weighted_majority,0.700000
7,batch_ds,0.900000
7,majority,0.600000
7,online_em_dedup,0.900000
7,online_em_nodedup,0.900000
7,weighted_majority,1.000000
8,batch_ds,0.900000
8,majority,0.600000
8,online_em_dedup,0.700000
8,online_em_nodedup,0.700000
8,weighted_majority,0.700000
9,batch_ds,0.900000
9,majority,0.700000
9,online_em_dedup,0.700000
9,online_em_nodedup,0.700000
9,weighted_majority,0.900000
10,batch_ds,1.000000
10,majority,1.000000
10,online_em_dedup,1.000000
10,online_em_nodedup,1.000000
10,weighted_majority,1.000000
11,batch_ds,0.900000
11,majority,1.000000
11,online_em_dedup,0.900000
11,online_em_nodedup,0.900000
11,weighted_majority,0.900000
12,batch_ds,0.900000
12,majority,0.974679
12,online_em_dedup,1.000000
12,online_em_nodedup,1.000000
12,weighted_majority,1.000000
13,batch_ds,1.000000
13,majority,0.974679
13,online_em_dedup,1.000000
13,online_em_nodedup,1.000000
13,weighted_majority,1.000000
14,batch_ds,0.700000
14,majority,0.100000
14,online_em_dedup,1.000000
14,online_em_nodedup,1.000000
14,weighted_majority,1.000000
15,batch_ds,0.800000
15,majority,0.051299
15,online_em_dedup,0.800000
15,online_em_nodedup,0.800000
15,weighted_majority,0.800000
16,batch_ds,1.000000
16,majority,0.974679
16,online_em_dedup,1.000000
16,online_em_nodedup,1.000000
16,weighted_majority,1.000000
17,batch_ds,1.000000
17,majority,0.900000
17,online_em_dedup,1.000000
17,online_em_nodedup,1.000000
17,weighted_majority,0.600000
18,batch_ds,0.900000
18,majority,0.900000
18,online_em_dedup,0.700000
18,online_em_nodedup,0.700000
18,weighted_majority,0.600000
19,batch_ds,1.000000
19,majority,0.974679
19,online_em_dedup,1.000000
19,online_em_nodedup,1.000000
19,weighted_majority,1.000000
20,batch_ds,0.900000
20,majority,0.900000
20,online_em_dedup,1.000000
20,online_em_nodedup,1.000000
20,weighted_majority,1.000000
21,batch_ds,1.000000
21,majority,0.900000
21,online_em_dedup,1.000000
21,online_em_nodedup,1.000000
21,weighted_majority,1.000000
22,batch_ds,0.900000
22,majority,0.200000
22,online_em_dedup,0.900000
22,online_em_nodedup,0.900000
22,weighted_majority,0.900000
23,batch_ds,0.700000
23,majority,0.900000
23,online_em_dedup,0.700000
23,online_em_nodedup,0.700000
23,weighted_majority,0.700000
24,batch_ds,0.900000
24,majority,0.900000
24,online_em_dedup,1.000000
24,online_em_nodedup,1.000000
24,weighted_majority,0.900000
25,batch_ds,0.900000
25,majority,0.900000
25,online_em_dedup,0.900000
25,online_em_nodedup,0.900000
25,weighted_majority,0.900000
26,batch_ds,1.000000
26,majority,0.900000
26,online_em_dedup,0.900000
26,online_em_nodedup,0.900000
26,weighted_majority,1.000000
27,batch_ds,1.000000
27,majority,0.900000
27,online_em_dedup,1.000000
27,online_em_nodedup,1.000000
27,weighted_majority,0.900000
28,batch_ds,0.900000
28,majority,0.200000
28,online_em_dedup,0.600000
28,online_em_nodedup,0.600000
28,weighted_majority,1.000000
29,batch_ds,0.900000
29,majority,0.700000
29,online_em_dedup,0.700000
29,online_em_nodedup,0.700000
29,weighted_majority,0.900000
