mode,multiplicity,seed,dedup,rho,wire_reliability_est
exact,1,0,False,1.000000,0.302387
exact,1,0,True,1.000000,0.302387
exact,1,1,False,0.700000,0.391090
exact,1,1,True,0.700000,0.391090
exact,1,2,False,1.000000,0.326744
exact,1,2,True,1.000000,0.326744
exact,1,3,False,1.000000,0.179881
exact,1,3,True,1.000000,0.179881
exact,1,4,False,0.300000,0.319062
exact,1,4,True,0.300000,0.319062
exact,1,5,False,1.000000,0.354650
exact,1,5,True,1.000000,0.354650
exact,1,6,False,0.900000,0.338275
exact,1,6,True,0.900000,0.338275
exact,1,7,False,0.900000,0.387402
exact,1,7,True,0.900000,0.387402
exact,1,8,False,0.700000,0.245742
exact,1,8,True,0.700000,0.245742
exact,1,9,False,0.700000,0.247207
exact,1,9,True,0.700000,0.247207
exact,2,0,False,0.900000,0.323313
exact,2,0,True,0.900000,0.302387
exact,2,1,False,0.700000,0.413616
exact,2,1,True,0.700000,0.391090
exact,2,2,False,0.700000,0.344411
exact,2,2,True,0.900000,0.326744
exact,2,3,False,1.000000,0.207837
exact,2,3,True,1.000000,0.179881
exact,2,4,False,0.100000,0.351493
exact,2,4,True,0.300000,0.319062
exact,2,5,False,0.900000,0.382637
exact,2,5,True,1.000000,0.354650
exact,2,6,False,0.900000,0.361041
exact,2,6,True,0.900000,0.338275
exact,2,7,False,0.700000,0.412045
exact,2,7,True,0.700000,0.387402
exact,2,8,False,0.700000,0.264057
exact,2,8,True,0.700000,0.245742
exact,2,9,False,0.700000,0.276705
exact,2,9,True,0.700000,0.247207
exact,5,0,False,1.000000,0.390534
exact,5,0,True,1.000000,0.302387
exact,5,1,False,0.700000,0.484103
exact,5,1,True,0.700000,0.391090
exact,5,2,False,1.000000,0.401302
exact,5,2,True,1.000000,0.326744
exact,5,3,False,1.000000,0.307063
exact,5,3,True,1.000000,0.179881
exact,5,4,False,0.300000,0.464496
exact,5,4,True,0.300000,0.319062
exact,5,5,False,0.900000,0.468496
exact,5,5,True,1.000000,0.354650
exact,5,6,False,0.700000,0.432047
exact,5,6,True,0.900000,0.338275
exact,5,7,False,0.900000,0.490891
exact,5,7,True,0.900000,0.387402
exact,5,8,False,0.700000,0.324015
exact,5,8,True,0.700000,0.245742
exact,5,9,False,0.700000,0.376944
exact,5,9,True,0.700000,0.247207
