dedup,outlet,is_real,sens,spec,reliability,n_obs
1,fake:us-news,0,0.842491,0.497509,0.670000,2
1,fake:middle-east,0,0.840591,0.492356,0.666474,2
1,fake:news,0,0.842240,0.471705,0.656972,0
1,fake:politics,0,0.876835,0.427144,0.651989,5
1,fake:government-news,0,0.882554,0.419951,0.651252,1
1,fake:left-news,0,0.870157,0.424196,0.647176,6
1,reuters,1,0.922593,0.295505,0.609049,0
0,fake:government-news,0,0.954896,0.700061,0.827479,4
0,fake:us-news,0,0.923655,0.701091,0.812373,6
0,fake:middle-east,0,0.920896,0.690474,0.805685,6
0,fake:politics,0,0.942736,0.655101,0.798918,13
0,fake:left-news,0,0.932575,0.639582,0.786078,15
0,fake:news,0,0.835772,0.480506,0.658139,0
0,reuters,1,0.918811,0.290888,0.604849,0
