outlet,n_articles,fact,bias,sens,spec,reliability,n_obs
dailymail.co.uk,919,mixed,right,0.989750,0.260617,0.625183,3
people.com,1655,high,left,0.967773,0.111561,0.539667,6
express.co.uk,70,mixed,right,0.656589,0.418263,0.537426,0
foxnews.com,127,mixed,right,0.990000,0.010000,0.500000,0
reuters.com,12,high,center,0.990000,0.010000,0.500000,0
cnn.com,118,mixed,left,0.990000,0.010000,0.500000,0
huffingtonpost.com,100,high,left,0.990000,0.010000,0.500000,0
mirror.co.uk,95,mixed,left,0.990000,0.010000,0.500000,0
newsweek.com,20,mixed,left,0.990000,0.010000,0.500000,0
thesun.co.uk,57,mixed,right,0.990000,0.010000,0.500000,0
vox.com,37,high,left,0.990000,0.010000,0.500000,0
cosmopolitan.com,142,high,left,0.990000,0.010000,0.500000,0
thewrap.com,166,mixed,center,0.990000,0.010000,0.500000,0
upi.com,69,high,center,0.990000,0.010000,0.500000,0
indianexpress.com,9,high,center,0.990000,0.010000,0.500000,0
vanityfair.com,143,high,left,0.990000,0.010000,0.500000,0
thedailybeast.com,28,high,left,0.990000,0.010000,0.500000,0
timesofindia.indiatimes.com,10,high,center,0.990000,0.010000,0.500000,0
torontosun.com,11,high,right,0.990000,0.010000,0.500000,0
dailytelegraph.com.au,6,mixed,right,0.990000,0.010000,0.500000,0
newyorker.com,6,high,left,0.990000,0.010000,0.500000,0
nationalenquirer.com,48,low,right,0.990000,0.010000,0.500000,0
