outlet,n_articles,fact,bias,sens,spec,reliability,n_obs
gq.com,13,high,left,0.934584,0.187879,0.561231,0
express.co.uk,70,mixed,right,0.989699,0.098947,0.544323,0
huffingtonpost.com,100,high,left,0.985996,0.083889,0.534942,0
mirror.co.uk,95,mixed,left,0.953456,0.112138,0.532797,0
elitedaily.com,62,mixed,left,0.939848,0.115222,0.527535,0
people.com,1655,high,left,0.962066,0.089028,0.525547,11
vanityfair.com,143,high,left,0.975471,0.061162,0.518317,0
thewrap.com,166,mixed,center,0.990000,0.036487,0.513243,0
dailymail.co.uk,919,mixed,right,0.989368,0.024504,0.506936,5
politifact.com,25,high,center,0.990000,0.010000,0.500000,0
apnews.com,12,high,center,0.990000,0.010000,0.500000,0
foxnews.com,127,mixed,right,0.990000,0.010000,0.500000,1
reuters.com,12,high,center,0.990000,0.010000,0.500000,0
cnn.com,118,mixed,left,0.990000,0.010000,0.500000,0
breitbart.com,5,low,right,0.990000,0.010000,0.500000,0
newsweek.com,20,mixed,left,0.990000,0.010000,0.500000,0
thesun.co.uk,57,mixed,right,0.990000,0.010000,0.500000,0
vox.com,37,high,left,0.990000,0.010000,0.500000,0
cosmopolitan.com,142,high,left,0.990000,0.010000,0.500000,0
esquire.com,10,high,left,0.990000,0.010000,0.500000,0
upi.com,69,high,center,0.990000,0.010000,0.500000,0
indianexpress.com,9,high,center,0.990000,0.010000,0.500000,0
thedailybeast.com,28,high,left,0.990000,0.010000,0.500000,0
timesofindia.indiatimes.com,10,high,center,0.990000,0.010000,0.500000,0
mashable.com,33,high,left,0.990000,0.010000,0.500000,0
slate.com,8,high,left,0.990000,0.010000,0.500000,0
uproxx.com,9,high,left,0.990000,0.010000,0.500000,0
jezebel.com,9,mixed,left,0.990000,0.010000,0.500000,0
christianpost.com,32,mixed,right,0.990000,0.010000,0.500000,0
torontosun.com,11,high,right,0.990000,0.010000,0.500000,0
scmp.com,6,high,center,0.990000,0.010000,0.500000,0
dailytelegraph.com.au,6,mixed,right,0.990000,0.010000,0.500000,0
newyorker.com,6,high,left,0.990000,0.010000,0.500000,0
nationalenquirer.com,48,low,right,0.990000,0.010000,0.500000,0
