outlet,category,events_in_category,events_covered,coverage_rate,omission_score,em_sensitivity,em_reliability
au.ibtimes.com,uci_b,1999,44,0.022011,0.977989,0.953586,0.942052
au.ibtimes.com,uci_e,2068,416,0.201161,0.798839,0.953586,0.942052
au.ibtimes.com,uci_m,1320,50,0.037879,0.962121,0.953586,0.942052
au.ibtimes.com,uci_t,1779,210,0.118044,0.881956,0.953586,0.942052
bizjournals.com,uci_b,1999,527,0.263632,0.736368,0.965010,0.948159
bizjournals.com,uci_e,2068,97,0.046905,0.953095,0.965010,0.948159
bizjournals.com,uci_m,1320,104,0.078788,0.921212,0.965010,0.948159
bizjournals.com,uci_t,1779,333,0.187184,0.812816,0.965010,0.948159
blogs.wsj.com,uci_b,1999,467,0.233617,0.766383,0.968587,0.489294
blogs.wsj.com,uci_e,2068,215,0.103965,0.896035,0.968587,0.489294
blogs.wsj.com,uci_m,1320,32,0.024242,0.975758,0.968587,0.489294
blogs.wsj.com,uci_t,1779,224,0.125913,0.874087,0.968587,0.489294
bloomberg.com,uci_b,1999,679,0.339670,0.660330,0.990000,0.579078
bloomberg.com,uci_e,2068,55,0.026596,0.973404,0.990000,0.579078
bloomberg.com,uci_m,1320,73,0.055303,0.944697,0.990000,0.579078
bloomberg.com,uci_t,1779,206,0.115795,0.884205,0.990000,0.579078
business-standard.com,uci_b,1999,338,0.169085,0.830915,0.973643,0.613890
business-standard.com,uci_e,2068,278,0.134429,0.865571,0.973643,0.613890
business-standard.com,uci_m,1320,79,0.059848,0.940152,0.973643,0.613890
business-standard.com,uci_t,1779,189,0.106239,0.893761,0.973643,0.613890
businessweek.com,uci_b,1999,1044,0.522261,0.477739,0.983360,0.723765
businessweek.com,uci_e,2068,75,0.036267,0.963733,0.983360,0.723765
businessweek.com,uci_m,1320,131,0.099242,0.900758,0.983360,0.723765
businessweek.com,uci_t,1779,280,0.157392,0.842608,0.983360,0.723765
contactmusic.com,uci_b,1999,2,0.001001,0.998999,0.955565,0.801491
contactmusic.com,uci_e,2068,1162,0.561896,0.438104,0.955565,0.801491
contactmusic.com,uci_m,1320,11,0.008333,0.991667,0.955565,0.801491
contactmusic.com,uci_t,1779,11,0.006183,0.993817,0.955565,0.801491
dailymail.co.uk,uci_b,1999,168,0.084042,0.915958,0.961384,0.860504
dailymail.co.uk,uci_e,2068,922,0.445841,0.554159,0.961384,0.860504
dailymail.co.uk,uci_m,1320,224,0.169697,0.830303,0.961384,0.860504
dailymail.co.uk,uci_t,1779,280,0.157392,0.842608,0.961384,0.860504
entertainmentwise.com,uci_b,1999,0,0.000000,1.000000,0.959061,0.728154
entertainmentwise.com,uci_e,2068,851,0.411509,0.588491,0.959061,0.728154
entertainmentwise.com,uci_m,1320,2,0.001515,0.998485,0.959061,0.728154
entertainmentwise.com,uci_t,1779,3,0.001686,0.998314,0.959061,0.728154
examiner.com,uci_b,1999,101,0.050525,0.949475,0.976113,0.868281
examiner.com,uci_e,2068,733,0.354449,0.645551,0.976113,0.868281
examiner.com,uci_m,1320,195,0.147727,0.852273,0.976113,0.868281
examiner.com,uci_t,1779,229,0.128724,0.871276,0.976113,0.868281
forbes.com,uci_b,1999,485,0.242621,0.757379,0.951663,0.713941
forbes.com,uci_e,2068,149,0.072050,0.927950,0.951663,0.713941
forbes.com,uci_m,1320,78,0.059091,0.940909,0.951663,0.713941
forbes.com,uci_t,1779,359,0.201799,0.798201,0.951663,0.713941
globalpost.com,uci_b,1999,741,0.370685,0.629315,0.972963,0.677293
globalpost.com,uci_e,2068,143,0.069149,0.930851,0.972963,0.677293
globalpost.com,uci_m,1320,149,0.112879,0.887121,0.972963,0.677293
globalpost.com,uci_t,1779,176,0.098932,0.901068,0.972963,0.677293
hngn.com,uci_b,1999,93,0.046523,0.953477,0.980422,0.904786
hngn.com,uci_e,2068,397,0.191973,0.808027,0.980422,0.904786
hngn.com,uci_m,1320,341,0.258333,0.741667,0.980422,0.904786
hngn.com,uci_t,1779,430,0.241709,0.758291,0.980422,0.904786
huffingtonpost.com,uci_b,1999,340,0.170085,0.829915,0.959638,0.963923
huffingtonpost.com,uci_e,2068,882,0.426499,0.573501,0.959638,0.963923
huffingtonpost.com,uci_m,1320,297,0.225000,0.775000,0.959638,0.963923
huffingtonpost.com,uci_t,1779,374,0.210230,0.789770,0.959638,0.963923
in.reuters.com,uci_b,1999,931,0.465733,0.534267,0.974315,0.582862
in.reuters.com,uci_e,2068,121,0.058511,0.941489,0.974315,0.582862
