outlet,n_articles,mean_distance,ci_low,ci_high,em_consensus_agreement
spiegel.de,504,0.769537,0.758791,0.780452,0.504786
sueddeutsche.de,415,0.787187,0.775470,0.798227,0.504118
zeit.de,647,0.794751,0.786194,0.802337,0.504930
faz.net,505,0.798706,0.791404,0.806007,0.503046
welt.de,192,0.801532,0.789590,0.813876,0.493358
bild.de,344,0.803874,0.793697,0.813638,0.502288
fr.de,382,0.809727,0.801658,0.816336,0.500373
gmx.net,625,0.811231,0.802057,0.819893,0.498426
volksstimme.de,403,0.811397,0.800053,0.823526,0.504250
compact-online.de,637,0.850820,0.847489,0.854134,0.500000
