outlet,n_articles,mean_distance,ci_low,ci_high,em_consensus_agreement
kuow.org,1,-0.000000,-0.000000,-0.000000,0.500000
nbc4i.com,2,0.333284,0.170292,0.434184,0.500000
virginiamercury.com,3,0.446962,0.418147,0.501649,0.500000
tribuneindia.com,6,0.527697,0.487809,0.574976,0.500000
deccanherald.com,2,0.547317,0.491329,0.603306,0.500000
newser.com,2,0.738551,0.309641,0.803011,0.500000
journalgazette.net,8,0.740920,0.402505,0.790711,0.812769
wlbt.com,2,0.744160,0.725121,0.765204,0.500000
benzinga.com,3,0.765026,0.753044,0.788990,0.500000
livenowfox.com,8,0.767189,0.692344,0.798264,0.500000
reviewjournal.com,4,0.770570,0.128149,0.785630,0.673730
indianacapitalchronicle.com,1,0.772029,0.772029,0.772029,0.500000
pilotonline.com,4,0.773596,0.000000,0.815008,0.500000
vox.com,5,0.773698,0.737752,0.799782,0.500000
sandiegouniontribune.com,8,0.775840,0.703422,0.795852,0.500000
mezha.net,10,0.777321,0.747927,0.792405,0.500000
postregister.com,6,0.778570,0.728543,0.858768,0.500000
wamu.org,6,0.781456,0.762732,0.800180,0.500000
wisn.com,5,0.782427,0.733816,0.828799,0.595237
people.com,13,0.782733,0.762146,0.805743,0.562913
news3lv.com,5,0.782956,0.339598,0.824501,0.500000
dailynews.com,9,0.783576,0.737783,0.817204,0.500000
nbcnewyork.com,8,0.784055,0.709639,0.813756,0.500000
merkley.senate.gov,3,0.784193,0.761399,0.811093,0.500000
koat.com,8,0.784650,0.757369,0.811228,0.540329
truthout.org,5,0.785888,0.770554,0.799208,0.500000
wbay.com,6,0.786059,0.700639,0.812078,0.500000
twincities.com,10,0.786169,0.168503,0.808447,0.500000
wkyc.com,6,0.786355,0.759283,0.824595,0.500000
us.cnn.com,5,0.786914,0.752038,0.809361,0.500000
variety.com,10,0.787120,0.757016,0.817627,0.514703
abc7chicago.com,14,0.787403,0.771941,0.802017,0.500000
13wmaz.com,9,0.788124,0.773130,0.807801,0.500000
kfgo.com,8,0.788456,0.767645,0.814223,0.500000
wired.com,6,0.790021,0.771807,0.806651,0.500000
wbur.org,7,0.790404,0.773122,0.802594,0.500000
news.wttw.com,6,0.790461,0.773966,0.809438,0.500000
13wham.com,8,0.790465,0.773002,0.809183,0.500000
post-gazette.com,6,0.790518,0.769621,0.802232,0.500000
hollywoodreporter.com,8,0.791125,0.772629,0.808401,0.500000
thirteen.org,5,0.791385,0.738772,0.816147,0.500000
clickondetroit.com,13,0.791710,0.735188,0.815077,0.500000
jla.com,3,0.792539,0.268489,0.805166,0.500000
davisvanguard.org,5,0.792649,0.778920,0.806836,0.500000
theconversation.com,7,0.793015,0.772740,0.812395,0.500000
abc7.com,15,0.793454,0.771165,0.814222,0.576993
chicago.suntimes.com,4,0.793749,0.778552,0.801957,0.500000
timesargus.com,12,0.793946,0.743882,0.842124,0.500000
scrippsnews.com,21,0.794412,0.778853,0.808065,0.518771
foxbusiness.com,19,0.794905,0.776803,0.813312,0.503983
localnewslive.com,13,0.795417,0.756417,0.823045,0.546709
denverpost.com,20,0.795574,0.781755,0.808900,0.500000
wric.com,6,0.795895,0.427807,0.848772,0.500000
timesunion.com,6,0.795935,0.780152,0.801357,0.500000
newyorker.com,10,0.796234,0.776415,0.818046,0.500000
fox5ny.com,17,0.796495,0.766653,0.818817,0.500000
wsj.com,145,0.796637,0.788963,0.804374,0.501637
tradingview.com,8,0.796655,0.784087,0.807162,0.500000
wfmd.com,5,0.796760,0.774745,0.821353,0.500000
newsroom.loc.gov,7,0.796908,0.776321,0.813887,0.500000
ynetnews.com,4,0.797065,0.772114,0.819251,0.500000
aei.org,4,0.797159,0.760969,0.844239,0.500000
time.com,20,0.797170,0.780248,0.813923,0.502506
georgiarecorder.com,5,0.797567,0.773318,0.817239,0.500000
breitbart.com,730,0.797757,0.794360,0.801151,0.500183
washingtontimes.com,13,0.798471,0.787161,0.806115,0.522291
newrepublic.com,13,0.798603,0.767549,0.832701,0.500000
usnews.com,27,0.798695,0.781633,0.816248,0.539574
10tv.com,8,0.799153,0.778299,0.817119,0.500000
utahnewsdispatch.com,6,0.799210,0.787291,0.812475,0.500000
lancasteronline.com,5,0.799222,0.778403,0.815011,0.714890
jdsupra.com,23,0.799399,0.785870,0.813541,0.513715
douglasco.gov,6,0.799672,0.778668,0.819068,0.500000
turnto10.com,6,0.799797,0.778202,0.822928,0.500000
floridapolitics.com,4,0.799890,0.759943,0.839838,0.500000
ballsandstrikes.org,5,0.800044,0.793602,0.808881,0.500000
19thnews.org,4,0.800247,0.778630,0.813645,0.633333
kcra.com,30,0.800642,0.788677,0.812183,0.509736
alabamareflector.com,6,0.800756,0.676768,0.812345,0.500000
fortune.com,13,0.800839,0.774716,0.823526,0.545858
kolotv.com,6,0.801108,0.701184,0.860350,0.500000
abc7ny.com,9,0.801163,0.782053,0.815831,0.512500
dsu.com,6,0.801249,0.751751,0.819701,0.500000
slate.com,15,0.801463,0.781697,0.826174,0.500000
cato.org,4,0.801570,0.793085,0.804189,0.500000
news4jax.com,19,0.801773,0.779974,0.818026,0.500000
dvidshub.net,8,0.801871,0.778273,0.824948,0.500000
kvue.com,24,0.801880,0.788241,0.813990,0.500000
mynbc5.com,7,0.801962,0.781410,0.816685,0.500000
wyff4.com,8,0.801976,0.781314,0.819173,0.653378
wkrn.com,5,0.802210,0.777715,0.832508,0.500000
timesfreepress.com,6,0.802229,0.783319,0.815778,0.528571
thehour.com,11,0.802229,0.696867,0.824051,0.500000
sports.yahoo.com,155,0.802302,0.797910,0.806621,0.500000
