article_id,outlet,event_id,distance
12,abcnews.go.com,12,0.499013
23,abcnews.go.com,12,0.342051
138,cbsnews.com,12,0.375215
192,dailycaller.com,12,0.246623
250,foxnews.com,12,0.466128
368,nbcnews.com,12,0.196698
384,npr.org,12,0.524664
388,npr.org,12,0.237718
410,nytimes.com,12,0.420460
415,nytimes.com,12,0.517378
629,thehill.com,12,0.458972
658,wsj.com,12,0.464910
659,wsj.com,12,0.593605
660,wsj.com,12,0.434895
18,abcnews.go.com,18,0.419617
24,abcnews.go.com,18,0.340718
120,cbsnews.com,18,0.250230
435,politico.com,18,0.502492
535,theguardian.com,18,0.417309
653,wsj.com,18,0.443646
690,yahoo.com,18,0.440989
701,yahoo.com,18,0.365143
29,ashingtonexaminer.com,26,0.547593
119,cbsnews.com,26,0.426323
128,cbsnews.com,26,0.467713
164,cnn.com,26,0.549540
206,dailykos.com,26,0.554288
233,foxnews.com,26,0.503874
243,foxnews.com,26,0.422991
253,foxnews.com,26,0.516887
347,nbcnews.com,26,0.483069
683,yahoo.com,26,0.437478
696,yahoo.com,26,0.467713
710,yahoo.com,26,0.433828
717,yahoo.com,26,0.532508
719,yahoo.com,26,0.496622
720,yahoo.com,26,0.615958
726,yahoo.com,26,0.620338
35,ashingtonexaminer.com,32,0.316753
90,breitbart.com,32,0.343081
160,cnn.com,32,0.413803
208,dailykos.com,32,0.263199
245,foxnews.com,32,0.299842
712,yahoo.com,32,0.451114
713,yahoo.com,32,0.343091
65,breitbart.com,60,0.445932
124,cbsnews.com,60,0.486512
177,dailycaller.com,60,0.418515
220,foxnews.com,60,0.480505
274,huffpost.com,60,0.564658
338,nbcnews.com,60,0.369391
346,nbcnews.com,60,0.509453
537,theguardian.com,60,0.435271
579,thehill.com,60,0.387419
589,thehill.com,60,0.466051
626,thehill.com,60,0.631341
126,cbsnews.com,117,0.349671
284,huffpost.com,117,0.365331
289,huffpost.com,117,0.318045
402,nytimes.com,117,0.287923
544,theguardian.com,117,0.287916
580,thehill.com,117,0.294182
