outlet,n_articles,mean_distance,ci_low,ci_high,em_consensus_agreement
kdhnews.com,1,0.000000,0.000000,0.000000,0.500000
wunc.org,1,0.031271,0.031271,0.031271,0.500000
pressdemocrat.com,3,0.107087,0.015445,0.162509,0.500000
thehour.com,2,0.125743,0.015445,0.162509,0.500000
wvnews.com,3,0.193463,0.000000,0.348234,0.500000
clickondetroit.com,1,0.195498,0.195498,0.195498,0.500000
ktul.com,1,0.202252,0.202252,0.202252,0.500000
cleveland19.com,1,0.223507,0.223507,0.223507,0.500000
kptv.com,1,0.223507,0.223507,0.223507,0.500000
nbcnewyork.com,1,0.242645,0.242645,0.242645,0.500000
talkingpointsmemo.com,1,0.325530,0.325530,0.325530,0.500000
messenger-inquirer.com,2,0.332791,0.162509,0.439217,0.500000
postregister.com,2,0.348234,0.348234,0.348234,0.500000
bbc.co.uk,1,0.353805,0.353805,0.353805,0.500000
thewellnews.com,1,0.359346,0.359346,0.359346,0.500000
lemonde.fr,2,0.387000,0.223205,0.434774,0.500000
kttc.com,1,0.395438,0.395438,0.395438,0.500000
ky3.com,1,0.395438,0.395438,0.395438,0.500000
newsobserver.com,1,0.406239,0.406239,0.406239,0.500000
uppermichiganssource.com,3,0.410680,0.223507,0.569563,0.500000
kare11.com,1,0.413638,0.413638,0.413638,0.500000
10tv.com,1,0.414129,0.414129,0.414129,0.500000
wgal.com,1,0.418901,0.418901,0.418901,0.500000
alreporter.com,1,0.428195,0.428195,0.428195,0.500000
telegraph.co.uk,1,0.434273,0.434273,0.434273,0.500000
virginiamercury.com,1,0.445588,0.445588,0.445588,0.500000
middleeasteye.net,1,0.450860,0.450860,0.450860,0.500000
utahnewsdispatch.com,1,0.600616,0.600616,0.600616,0.500000
wkyt.com,4,0.665029,0.602616,0.703005,0.500000
fox43.com,1,0.682902,0.682902,0.682902,0.500000
ballsandstrikes.org,1,0.703495,0.703495,0.703495,0.500000
desmoinesregister.com,3,0.704897,0.479126,0.711556,0.500000
koat.com,3,0.707838,0.669546,0.729501,0.500000
bostonherald.com,2,0.708387,0.162509,0.729064,0.500000
kfgo.com,1,0.709551,0.709551,0.709551,0.500000
santafenewmexican.com,4,0.710542,0.180735,0.734214,0.500000
sentinelcolorado.com,3,0.711312,0.162509,0.740421,0.500000
startribune.com,1,0.713156,0.713156,0.713156,0.500000
kxan.com,1,0.715680,0.715680,0.715680,0.500000
courtnewsohio.gov,1,0.716939,0.716939,0.716939,0.500000
wgrz.com,1,0.719220,0.719220,0.719220,0.500000
dw.com,5,0.719648,0.324336,0.759259,0.500000
wyff4.com,1,0.724468,0.724468,0.724468,0.500000
floridapolitics.com,2,0.726822,0.428804,0.732843,0.500000
vox.com,4,0.729913,0.709051,0.759462,0.500000
mississippitoday.org,1,0.730105,0.730105,0.730105,0.500000
nbclosangeles.com,1,0.731502,0.731502,0.731502,0.500000
indianacapitalchronicle.com,1,0.731544,0.731544,0.731544,0.500000
deseret.com,5,0.732822,0.680973,0.777185,0.500000
mprnews.org,1,0.733595,0.733595,0.733595,0.500000
ketv.com,2,0.734095,0.669546,0.798644,0.500000
english.elpais.com,1,0.736640,0.736640,0.736640,0.500000
tpr.org,1,0.737109,0.737109,0.737109,0.500000
houstonpublicmedia.org,3,0.738463,0.737109,0.741172,0.500000
kqed.org,6,0.738658,0.708685,0.770022,0.500000
newyorker.com,5,0.740169,0.718358,0.768034,0.500000
local10.com,2,0.743151,0.738569,0.747733,0.500000
fox10phoenix.com,3,0.743790,0.475660,0.757136,0.624982
sun-sentinel.com,2,0.746441,0.725711,0.767172,0.500000
wisn.com,2,0.747054,0.669546,0.824563,0.500000
wusa9.com,6,0.748701,0.705535,0.791317,0.500000
abc11.com,1,0.748869,0.748869,0.748869,0.500000
mezha.net,1,0.750850,0.750850,0.750850,0.500000
actionnews5.com,1,0.751265,0.751265,0.751265,0.500000
georgiarecorder.com,3,0.751310,0.567326,0.759722,0.500000
davisvanguard.org,4,0.752203,0.741325,0.768074,0.500000
kjzz.org,2,0.753023,0.745671,0.760375,0.500000
newsfromthestates.com,8,0.753209,0.711484,0.782412,0.500000
news10.com,3,0.753370,0.719234,0.821641,0.500000
reason.com,2,0.754474,0.723549,0.785400,0.500000
theconversation.com,6,0.755839,0.742420,0.768675,0.500000
jdsupra.com,8,0.755869,0.730275,0.780948,0.500000
